start_time,end_time,text,emotion,sub-emotion,intensity
"00:02:34,000","00:02:38,000","The biggest problem is that I am really the only person at the moment,",anger,annoyance,moderate
"00:02:38,000","00:02:41,000",who knows that Posti or Kasia is definitely a mafia.,happiness,curiosity,moderate
"00:02:41,000","00:02:45,000","It seems to me that the rejection of one of those people without in -depth knowledge of this,",neutral,neutral,neutral
"00:02:45,000","00:02:49,000","Is she a mafia, will give a little Safe to the other person.",neutral,neutral,neutral
"00:02:49,000","00:02:51,000",And we are not sure that he will not be a mafia.,fear,fear,moderate
"00:02:51,000","00:02:56,000","And this is the most afraid, i.e. the removal of the citizen and the fact that we will lose the one",fear,fear,intense
"00:02:56,000","00:03:01,000","In a kind of opportunity we have today, we really have only two choices.",neutral,neutral,neutral
"00:03:01,000","00:03:05,000","Today is a difficult day ahead of you, you can also sleep for a moment.",neutral,neutral,neutral
"00:03:05,000","00:03:07,000",A...,neutral,neutral,neutral
"00:03:07,000","00:03:09,000",K***a!,anger,anger,intense
"00:03:15,000","00:03:17,000","A delicious humor from the morning, I was very sleepy.",happiness,amusement,mild
"00:03:17,000","00:03:20,000","My companions, Naruciak and Żabso, were not so lucky.",neutral,neutral,neutral
"00:03:20,000","00:03:22,000",Welcome in my team.,happiness,approval,mild
"00:03:22,000","00:03:24,000","See, Naruciak what he sleeps on.",happiness,amusement,mild
"00:03:24,000","00:03:25,000",On three boards.,happiness,amusement,mild
"00:03:25,000","00:03:28,000",So I f *** and I'm sleepy and I have nothing to cover the windows.,anger,annoyance,moderate
"00:03:28,000","00:03:30,000",I tried to cover the window here.,neutral,neutral,neutral
"00:03:30,000","00:03:33,000",Żabst got up at 7 am and said he was too bright in the room.,neutral,neutral,neutral
"00:03:33,000","00:03:35,000",He took the clot and left somewhere.,neutral,neutral,neutral
"00:03:35,000","00:03:37,000","No, but it's such a good murder, no, I talk to him so much.",happiness,amusement,mild
"00:03:37,000","00:03:39,000",I am 100% sure for him that he is good.,,,
"00:03:39,000","00:03:43,000",I know that either Kasia or Posti are from the mafia.,,,
"00:03:43,000","00:03:45,000",Delight me why you have me for the mafia.,happiness,curiosity,moderate
"00:03:45,000","00:03:51,000","I don't have you for the mafia, but I have a friendly look at two girls.",neutral,neutral,neutral
"00:03:51,000","00:03:53,000","Because everyone looks at Lana, no.",neutral,neutral,neutral
"00:03:53,000","00:03:58,000","And I think it is more fusial, because she played in the mafia in this house.",disgust,disapproval,moderate
"00:03:58,000","00:04:00,000","Apparently she wasn't angry with it, no.",neutral,neutral,neutral
"00:04:00,000","00:04:02,000",She behaves very suspiciously.,,,
"00:04:02,000","00:04:04,000",And also very suspicious Faustina behaves.,,,
"00:04:04,000","00:04:07,000","Today it is too fast to make anything, you know, throw, no.",neutral,neutral,neutral
"00:04:07,000","00:04:12,000","Well, but you know, there were cases that they kneaded well on the first or second episode, because I just feel it, not.",happiness,curiosity,mild
"00:04:13,000","00:04:15,000","Well, what is your argument so small that this is Alan?",happiness,curiosity,moderate
"00:04:15,000","00:04:18,000","Because I, then one of you rather 50 out of 50.",neutral,neutral,neutral
"00:04:18,000","00:04:20,000","Well, I rely that Żabson is not lying.",,,
"00:04:20,000","00:04:23,000","And I know I'm not, so I'm staying, but ...",happiness,optimism,moderate
"00:04:23,000","00:04:25,000","Why is Żabson not lying, what is he?",happiness,curiosity,moderate
"00:04:25,000","00:04:26,000","Well, I'm saying he ...",neutral,neutral,neutral
"00:04:26,000","00:04:28,000","Earlier, before these, before you replaced these cards, you said",neutral,neutral,neutral
"00:04:28,000","00:04:32,000","I would be terribly stressed if I became a mafia, no.",fear,nervousness,intense
"00:04:32,000","00:04:34,000",And I would have such ...,neutral,neutral,neutral
"00:04:35,000","00:04:37,000",Żabson!,neutral,neutral,neutral
"00:04:38,000","00:04:40,000","Mordo, to YouTubers, Prans!",happiness,amusement,mild
"00:04:40,000","00:04:42,000","A lot of people play very safely,",neutral,neutral,neutral
"00:04:42,000","00:04:44,000","I definitely watch Żabson,",happiness,curiosity,mild
"00:04:44,000","00:04:46,000","because people follow him,",neutral,neutral,neutral
"00:04:46,000","00:04:48,000","I definitely look at Kasia and Faustia,",happiness,curiosity,mild
"00:04:48,000","00:04:50,000",Because they ultra are analyzing this game.,happiness,admiration,mild
"00:04:50,000","00:04:52,000","The first thing I woke up, I started thinking about the fact that",happiness,curiosity,mild
"00:04:52,000","00:04:54,000","What if so, what if so?",happiness,curiosity,moderate
"00:04:54,000","00:04:56,000","How I started saying something with Aga in the room,",neutral,neutral,neutral
"00:04:56,000","00:04:58,000",it was open to the door,neutral,neutral,neutral
"00:04:58,000","00:05:00,000",And I thought someone was here and eavesdropping on,fear,nervousness,mild
"00:05:00,000","00:05:02,000",And we went to check it and nobody was there.,happiness,relief,mild
"00:05:02,000","00:05:04,000",So Schiza begins.,surprise,confusion,moderate
"00:05:04,000","00:05:06,000",I passed and just heard,neutral,neutral,neutral
"00:05:06,000","00:05:08,000",how Tomasz Gimper acted.,happiness,curiosity,mild
"00:05:10,000","00:05:12,000","Well, he just said his predictions",neutral,neutral,neutral
"00:05:12,000","00:05:14,000",who is the mafia and said it in such a very natural way,happiness,admiration,mild
"00:05:14,000","00:05:16,000",to the camera.,neutral,neutral,neutral
"00:05:16,000","00:05:18,000","Thanks to which, I think",surprise,realization,mild
"00:05:18,000","00:05:20,000","At the moment, one person was cleaned.",happiness,relief,mild
"00:05:20,000","00:05:22,000",I generally have such a strategy,neutral,neutral,neutral
"00:05:22,000","00:05:24,000",To lurk and observe,happiness,curiosity,mild
"00:05:24,000","00:05:26,000","who screams the most,",happiness,curiosity,mild
"00:05:26,000","00:05:28,000",in which moments it starts.,happiness,curiosity,mild
"00:05:28,000","00:05:30,000",These are small things that can reveal some stress.,surprise,realization,mild
"00:05:30,000","00:05:32,000",Faustia is definitely stressed.,surprise,realization,moderate
"00:05:32,000","00:05:34,000",I wonder if it is because I feel guilty,surprise,confusion,moderate
"00:05:34,000","00:05:36,000","and that they tracked him down,",fear,fear,moderate
"00:05:36,000","00:05:38,000",or because everyone rushed at him.,fear,fear,moderate
"00:05:38,000","00:05:40,000",I have to do everything now,happiness,optimism,moderate
"00:05:40,000","00:05:42,000",Try to clean yourself as much as possible.,happiness,optimism,moderate
"00:05:42,000","00:05:44,000",Although I have the impression that I can be already,fear,nervousness,moderate
"00:05:44,000","00:05:46,000","In such a situation, from which it is simply very difficult to get out.",,,
"00:05:46,000","00:05:48,000",How do you feel that you will be today,happiness,curiosity,mild
"00:05:48,000","00:05:50,000",On Sześnik of Tom?,neutral,neutral,neutral
"00:05:50,000","00:05:52,000",With fusiałka.,neutral,neutral,neutral
"00:05:52,000","00:05:54,000","With fusiałka and with a frog, because",neutral,neutral,neutral
"00:05:54,000","00:05:56,000",I assume that he went to my uncle,happiness,curiosity,mild
"00:05:56,000","00:05:58,000","And for example, he could hear",happiness,curiosity,mild
"00:05:58,000","00:06:00,000",Type of three citizens,neutral,neutral,neutral
"00:06:00,000","00:06:02,000","And for example, he could say that there was a mafia.",happiness,curiosity,mild
"00:06:02,000","00:06:04,000",Because it would be old ...,surprise,confusion,mild
"00:06:04,000","00:06:06,000","I will tell you that, I think the frog is safe,",happiness,optimism,mild
"00:06:06,000","00:06:08,000",But if it is as you say,happiness,curiosity,mild
"00:06:08,000","00:06:10,000","And if he is lying, I have a good head.",,,
"00:06:10,000","00:06:12,000","Honestly, the frog begins to stink a bit.",disgust,disgust,mild
"00:06:12,000","00:06:14,000",He did something that you can't,disgust,disapproval,moderate
"00:06:14,000","00:06:16,000",Trust him because he said,neutral,neutral,neutral
"00:06:16,000","00:06:18,000","First of all, who he checked, so really",surprise,confusion,mild
"00:06:18,000","00:06:20,000","He could come up with it, right?",happiness,curiosity,mild
"00:06:20,000","00:06:22,000","I will tell you that, I was so cumin, right?",surprise,confusion,mild
"00:06:22,000","00:06:24,000",That I believe it only because of ours,neutral,neutral,neutral
"00:06:24,000","00:06:26,000",the past and there is no like ...,neutral,neutral,neutral
"00:06:26,000","00:06:28,000",You haven't done anything in this program for now so that I would,disgust,disapproval,moderate
"00:06:28,000","00:06:30,000","He could believe it, no? But I know it too.",,,
"00:06:30,000","00:06:32,000",You are doing something to believe him all the time.,surprise,confusion,mild
"00:06:32,000","00:06:34,000","Okay, maybe he can see you, well, you can have",neutral,neutral,neutral
"00:06:34,000","00:06:36,000","your favorite crafts, right? Yeah.",neutral,neutral,neutral
"00:06:36,000","00:06:38,000",I only take into account the scenario that,neutral,neutral,neutral
"00:06:38,000","00:06:40,000","The frog lies. Because all this, all this",,,
"00:06:40,000","00:06:42,000",The edge of me basically starts with it,surprise,realization,mild
"00:06:42,000","00:06:44,000","That ... you were on the list, I know.",surprise,realization,moderate
"00:06:44,000","00:06:46,000",I was on the list that can be totally totally,surprise,confusion,mild
"00:06:46,000","00:06:48,000",from the ass. I take it in general,anger,annoyance,mild
"00:06:48,000","00:06:50,000",The script is into account that someone puts you up.,surprise,confusion,moderate
"00:06:50,000","00:06:52,000",There is 50-50 with frog. He could,happiness,curiosity,mild
"00:06:52,000","00:06:54,000",go to this conversation,neutral,neutral,neutral
"00:06:54,000","00:06:56,000",with a rock and just totally totally,surprise,confusion,moderate
"00:06:56,000","00:06:58,000","Stroke it, no? Come back and tell us that",happiness,curiosity,mild
"00:06:58,000","00:07:00,000","we believe him, and really",neutral,neutral,neutral
"00:07:00,000","00:07:02,000",He could lie completely. I mainly sit,,,
"00:07:02,000","00:07:04,000","On hundreds, I talk to myself.",surprise,confusion,mild
"00:07:04,000","00:07:06,000",Who? I.,surprise,confusion,mild
"00:07:06,000","00:07:08,000",But how?,surprise,confusion,mild
"00:07:08,000","00:07:10,000",And who would be here in ... not that,surprise,confusion,moderate
"00:07:10,000","00:07:12,000",I take into account the script that someone,happiness,curiosity,mild
"00:07:12,000","00:07:14,000","He puts him down as if totally, no?",surprise,confusion,moderate
"00:07:14,000","00:07:16,000","I can't miss it, what's going on, right? All",surprise,confusion,moderate
"00:07:16,000","00:07:18,000","They talk to themselves, and for example",neutral,neutral,neutral
"00:07:18,000","00:07:20,000","I reach someone, it's so damn",anger,annoyance,moderate
"00:07:20,000","00:07:22,000","Nobody looks at me. Also oh, cool,",sadness,disappointment,mild
"00:07:22,000","00:07:24,000","We can make an alliance with you, only",happiness,optimism,mild
"00:07:24,000","00:07:26,000","Rather, everyone repels them somewhere. As if",,,
"00:07:26,000","00:07:28,000",I don't think I want to talk to you at all. Why?,disgust,disapproval,moderate
"00:07:28,000","00:07:30,000","Instead, we ate an alliance. Overall, I trust",neutral,neutral,neutral
"00:07:30,000","00:07:32,000","More for you than you. That's good, I'm going.",surprise,realization,mild
"00:07:32,000","00:07:34,000",The status of my relationship is complicated.,surprise,confusion,moderate
"00:07:34,000","00:07:36,000",I look at him and,happiness,curiosity,mild
"00:07:36,000","00:07:38,000",I sense that he is lying either,,,
"00:07:38,000","00:07:40,000",He pretends to be lying. I talked to him,,,
"00:07:40,000","00:07:42,000","Dude, I don't think I know you.",surprise,confusion,moderate
"00:07:42,000","00:07:44,000","Patryk, you have as if",neutral,neutral,neutral
"00:07:44,000","00:07:46,000","Such natural reactions. NO,",disgust,disapproval,mild
"00:07:46,000","00:07:48,000",Come here.,neutral,neutral,neutral
"00:07:48,000","00:07:50,000","For example, I don't trust him at all, at all.",disgust,disapproval,intense
"00:07:50,000","00:07:52,000",As if I was on the back of it,surprise,confusion,mild
"00:07:52,000","00:07:54,000",He just knew more.,neutral,neutral,neutral
"00:07:54,000","00:07:56,000",He is generally very confused and basically,surprise,confusion,moderate
"00:07:56,000","00:07:58,000",does not speak all day and pulls,neutral,neutral,neutral
"00:07:58,000","00:08:00,000",A lot of suspicions. Extract,,,
"00:08:00,000","00:08:02,000","All of you from here, no? I say that right away.",fear,fear,moderate
"00:08:02,000","00:08:04,000","It's fun, nice. Okay, that's ...",happiness,amusement,mild
"00:08:04,000","00:08:06,000",The most important is confidence,happiness,approval,mild
"00:08:06,000","00:08:08,000","And I respect it in you. Really, no?",happiness,admiration,mild
"00:08:08,000","00:08:10,000","I have my girlfriend, but she still me",neutral,neutral,neutral
"00:08:10,000","00:08:12,000",He talks that he doesn't believe me and I have it because of that,anger,annoyance,moderate
"00:08:12,000","00:08:14,000","A bit of something that she doesn't believe her, but I have it again",surprise,confusion,mild
"00:08:14,000","00:08:16,000",a few evidence for this,neutral,neutral,neutral
"00:08:16,000","00:08:18,000",that it is rather clean.,happiness,relief,mild
"00:08:18,000","00:08:19,000",Do you talk yourself?,happiness,curiosity,mild
"00:08:19,000","00:08:21,000","Well, you know, dilemmas here.",surprise,confusion,mild
"00:08:21,000","00:08:23,000",What do you have diverse? Do you have dilemmas,happiness,curiosity,mild
"00:08:23,000","00:08:25,000","to yourself? Well, I don't believe her, for example, no?",,,
"00:08:25,000","00:08:27,000",Lidka looks like she has a weight,neutral,neutral,neutral
"00:08:27,000","00:08:29,000",some information and really like,neutral,neutral,neutral
"00:08:29,000","00:08:31,000",She didn't lift him. I have such a burden,sadness,sadness,moderate
"00:08:31,000","00:08:33,000",old. I look at him and say,neutral,neutral,neutral
"00:08:33,000","00:08:35,000","Well, he behaves like that.",anger,annoyance,mild
"00:08:35,000","00:08:37,000","Oh, that is, he is also suspicious, right?",happiness,curiosity,moderate
"00:08:37,000","00:08:39,000",He speaks to me and never,neutral,neutral,neutral
"00:08:39,000","00:08:41,000","say nothing seriously, but he always laughs like",happiness,amusement,mild
"00:08:41,000","00:08:43,000",Someone says. And he does that.,neutral,neutral,neutral
"00:08:43,000","00:08:45,000",I'm not from the mafia.,,,
"00:08:47,000","00:08:49,000",Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,anger,annoyance,mild
"00:08:49,000","00:08:51,000",I got something like that today.,neutral,neutral,neutral
"00:08:51,000","00:08:53,000",This is the card on which,neutral,neutral,neutral
"00:08:53,000","00:08:55,000",you write a list of things how,neutral,neutral,neutral
"00:08:55,000","00:08:57,000",The person you choose today is to use.,neutral,neutral,neutral
"00:08:57,000","00:08:59,000","If you want to use this card, then",neutral,neutral,neutral
"00:08:59,000","00:09:01,000",You can write a list of activities to me.,neutral,neutral,neutral
"00:09:01,000","00:09:03,000",I will give a threatening letter,fear,fear,moderate
"00:09:03,000","00:09:05,000",the person you choose.,neutral,neutral,neutral
"00:09:05,000","00:09:07,000",A person who gets a threatening letter,fear,fear,moderate
"00:09:07,000","00:09:09,000",Mafia will have to properly,fear,fear,moderate
"00:09:09,000","00:09:11,000","be convincing for the rest,",neutral,neutral,neutral
"00:09:11,000","00:09:13,000",to enforce what,neutral,neutral,neutral
"00:09:13,000","00:09:15,000",It will be written in threatening.,fear,fear,moderate
"00:09:15,000","00:09:17,000",And if she tells anyone that she got,fear,fear,moderate
"00:09:17,000","00:09:19,000",Such a card or will not comply with,fear,fear,moderate
"00:09:19,000","00:09:21,000",actions marked by the mafia will stay,fear,fear,moderate
"00:09:21,000","00:09:23,000",eliminated from the program.,fear,fear,moderate
"00:09:23,000","00:09:25,000",And I have one more card to give,neutral,neutral,neutral
"00:09:25,000","00:09:27,000",And I will give her to the first person I will meet.,neutral,neutral,neutral
"00:09:27,000","00:09:29,000",I feel totally destroyed today,sadness,sadness,intense
"00:09:29,000","00:09:31,000","And from the morning, as soon as I woke up, I had such that",fear,nervousness,moderate
"00:09:31,000","00:09:33,000","Jesus, what if",fear,fear,moderate
"00:09:33,000","00:09:35,000","Aga is in the mafia, maybe two",surprise,surprise,moderate
"00:09:35,000","00:09:37,000",Girls are in the mafia?,surprise,surprise,moderate
"00:09:37,000","00:09:39,000",Later I had such a schiza that someone was eavesdropping on to us,fear,fear,moderate
"00:09:39,000","00:09:41,000","Behind the door, but later I got a card.",happiness,curiosity,moderate
"00:09:41,000","00:09:43,000",So you did,neutral,neutral,neutral
"00:09:43,000","00:09:45,000",because I was supposed to give the first person who,neutral,neutral,neutral
"00:09:45,000","00:09:47,000",I will meet so now to you.,neutral,neutral,neutral
"00:09:47,000","00:09:49,000",I will finish what I have.,neutral,neutral,neutral
"00:09:49,000","00:09:51,000",You can change your decision.,neutral,neutral,neutral
"00:09:51,000","00:09:53,000","No, you could give a detective or something.",neutral,neutral,neutral
"00:09:53,000","00:09:55,000",I don't know who to believe.,surprise,confusion,moderate
"00:09:55,000","00:09:57,000",I have the impression that the Giga War has been fighting from the morning,surprise,confusion,moderate
"00:09:57,000","00:09:59,000","Between Postirol and Kasia, no?",happiness,curiosity,mild
"00:09:59,000","00:10:01,000",She came to us in the room surely.,neutral,neutral,neutral
"00:10:00,000","00:10:02,000","At some point to Robson, to Naruciak and to me.",neutral,neutral,neutral
"00:10:02,000","00:10:04,000","And now, now let's make an intro here.",neutral,neutral,neutral
"00:10:04,000","00:10:06,000",Kasia came here and says,neutral,neutral,neutral
"00:10:06,000","00:10:08,000","Yes, do you have a card?",happiness,curiosity,mild
"00:10:08,000","00:10:10,000","And he says so first, do you have a card? And then he says yes.",neutral,neutral,neutral
"00:10:10,000","00:10:12,000",We have to throw away the role.,happiness,optimism,moderate
"00:10:12,000","00:10:14,000",And because Posti and Faustina walk ...,neutral,neutral,neutral
"00:10:14,000","00:10:16,000","We have everything, we have established everything.",,,
"00:10:16,000","00:10:18,000",This is my cinema that I think,neutral,neutral,neutral
"00:10:18,000","00:10:20,000","that if any of you were from the mafia, you wouldn't",happiness,curiosity,mild
"00:10:20,000","00:10:22,000","Friza, simply. My theory",neutral,neutral,neutral
"00:10:22,000","00:10:24,000",It is such that the mafia threw it out,disgust,disapproval,moderate
"00:10:24,000","00:10:26,000",Friza to make confusion.,surprise,confusion,moderate
"00:10:26,000","00:10:28,000",And that it may be that neither Kasia nor post,surprise,confusion,mild
"00:10:28,000","00:10:30,000",They are not from the mafia and someone,neutral,neutral,neutral
"00:10:30,000","00:10:32,000",he deliberately threw Friz to throw,anger,anger,intense
"00:10:32,000","00:10:34,000","suspicions on them, no? And I think",,,
"00:10:34,000","00:10:36,000","that the person who will care about it,",happiness,caring,mild
"00:10:36,000","00:10:38,000","to focus on them,",neutral,neutral,neutral
"00:10:38,000","00:10:40,000",It can be potentially suspicious. Remember about it,fear,fear,moderate
"00:10:40,000","00:10:42,000","that we stay in a situation 50-50 and, for example,",neutral,neutral,neutral
"00:10:42,000","00:10:44,000","We **** Posti today, and she is with the mafia.",fear,fear,intense
"00:10:44,000","00:10:46,000","And we say, a, chill out, we ****",neutral,neutral,neutral
"00:10:46,000","00:10:48,000","Mafia, it's good. All right. And she stays",neutral,neutral,neutral
"00:10:48,000","00:10:50,000","with us. Or the other way, posti is with the mafia,",,,
"00:10:50,000","00:10:52,000","right, and with you? Okay, always ...",neutral,neutral,neutral
"00:10:52,000","00:10:54,000",I think you got a card today,happiness,curiosity,mild
"00:10:54,000","00:10:56,000",And I got a card today too. When?,happiness,curiosity,mild
"00:10:56,000","00:10:58,000",At what point? Did you get the card? I also got a card today.,happiness,curiosity,mild
"00:10:58,000","00:11:00,000",Then tell you you got. Did you get the card?,happiness,curiosity,mild
"00:11:00,000","00:11:02,000","If you show you today that you have a card, I also",happiness,curiosity,mild
"00:11:02,000","00:11:04,000",I will show that I have. What did you get? NO.,happiness,curiosity,mild
"00:11:04,000","00:11:06,000",How did any of you get? NO.,happiness,curiosity,mild
"00:11:06,000","00:11:08,000","Okay, I'll show her a little about her. **** She got a card.",happiness,curiosity,mild
"00:11:08,000","00:11:10,000",And we can go aside. Who? Let her *** get a card.,happiness,curiosity,mild
"00:11:10,000","00:11:12,000","Well, we played Wabank",neutral,neutral,neutral
"00:11:12,000","00:11:14,000","And we talk to her if you don't show the card,",anger,annoyance,mild
"00:11:14,000","00:11:16,000",We all vote for you.,happiness,approval,mild
"00:11:16,000","00:11:18,000",Kasia was pressure.,neutral,neutral,neutral
"00:11:18,000","00:11:20,000","As you show this card, I vote for you.",happiness,approval,mild
"00:11:20,000","00:11:22,000","Hey, me too. I'm not the one today.",neutral,neutral,neutral
"00:11:26,000","00:11:28,000",Why don't we say? I promise too.,neutral,neutral,neutral
"00:11:28,000","00:11:30,000",I will not vote.,neutral,neutral,neutral
"00:11:30,000","00:11:32,000",I did not promise anything.,neutral,neutral,neutral
"00:11:32,000","00:11:34,000",Don't get into something like that. Don't do so.,fear,fear,moderate
"00:11:34,000","00:11:36,000","I say, no, Kasia, we really promise.",neutral,neutral,neutral
"00:11:36,000","00:11:38,000","Come, show us a card. Kasia went?",happiness,curiosity,mild
"00:11:38,000","00:11:40,000","About you? After all, we can finish her.",,,
"00:11:40,000","00:11:42,000","What's with you? No, don't listen.",disgust,disapproval,moderate
"00:11:42,000","00:11:44,000",We are not in this arrangement.,neutral,neutral,neutral
"00:11:44,000","00:11:46,000","Let him show, but let him show at least.",happiness,curiosity,mild
"00:11:46,000","00:11:48,000",Do you know what? To squeeze something more.,happiness,curiosity,mild
"00:11:48,000","00:11:50,000",Will show.,neutral,neutral,neutral
"00:11:50,000","00:11:52,000",You have.,neutral,neutral,neutral
"00:11:52,000","00:11:54,000",But good. And you just see.,neutral,neutral,neutral
"00:11:54,000","00:11:56,000","I suspected Kasia more than Polish,",neutral,neutral,neutral
"00:11:56,000","00:11:58,000","Because Kasia yesterday, yes, so to speak,",neutral,neutral,neutral
"00:11:58,000","00:12:00,000","She survived quite quietly and so on,",neutral,neutral,neutral
"00:12:00,000","00:12:02,000","But as she showed such a gesture of good will,",happiness,approval,mild
"00:12:02,000","00:12:04,000","She came to us in the room, however,",neutral,neutral,neutral
"00:12:04,000","00:12:06,000",She informed us about it at all,neutral,neutral,neutral
"00:12:06,000","00:12:08,000","that there is this card,",happiness,curiosity,mild
"00:12:08,000","00:12:10,000","which was already such transparency,",happiness,approval,mild
"00:12:10,000","00:12:12,000",that if she doesn't want to hide it,neutral,neutral,neutral
"00:12:12,000","00:12:14,000",Because she might as well said that.,neutral,neutral,neutral
"00:12:16,000","00:12:18,000","The Wojzda greeted me in the morning with a detective card,",surprise,surprise,mild
"00:12:18,000","00:12:20,000",thanks to which I could check,happiness,curiosity,mild
"00:12:20,000","00:12:22,000",Who is from the mafia and who is not.,happiness,curiosity,moderate
"00:12:22,000","00:12:24,000",I wanted to get this card.,happiness,desire,moderate
"00:12:24,000","00:12:26,000",When can I use it?,happiness,curiosity,mild
"00:12:26,000","00:12:28,000",At any time. It's now.,neutral,neutral,neutral
"00:12:28,000","00:12:30,000",Do you want to use it right away? Yes.,,,
"00:12:30,000","00:12:32,000","Okay, who do you want to check?",happiness,curiosity,mild
"00:12:32,000","00:12:34,000",Żabson. Do you want to know if Żabson is from the mafia or not?,happiness,curiosity,moderate
"00:12:34,000","00:12:36,000",Yes. Żabson is a citizen.,happiness,relief,mild
"00:12:36,000","00:12:38,000","I feel that I used it in a bad way,",sadness,remorse,moderate
"00:12:38,000","00:12:40,000",Because I did it right away.,neutral,neutral,neutral
"00:12:40,000","00:12:42,000",And now I have to think about whether it helped me or not.,surprise,confusion,mild
"00:12:42,000","00:12:44,000",It would be good to make an alliance with a frog,neutral,neutral,neutral
"00:12:44,000","00:12:46,000","But when I earn it too fast,",neutral,neutral,neutral
"00:12:46,000","00:12:48,000",Then he can turn everything against me.,fear,fear,moderate
