start_time,end_time,text,emotion,sub_emotion,intensity,emotion_encoded,sub_emotion_encoded,intensity_encoded
"00:01:14,000","00:01:17,000","Because there, you get involved in what you don't look at.",surprise,confusion,mild,6,7,0
"00:01:17,000","00:01:18,000",You're jealous.,disgust,disapproval,moderate,1,11,1
"00:01:18,000","00:01:19,000",Are you a whore or what?,anger,anger,strong,0,2,2
"00:01:19,000","00:01:21,000",You get involved in what you don't look at.,surprise,confusion,moderate,6,7,1
"00:01:21,000","00:01:23,000","You get bored, you look at us.",anger,annoyance,mild,0,3,0
"00:01:25,000","00:01:26,000",She gets angry.,anger,anger,strong,0,2,2
"00:01:26,000","00:01:28,000","Me, it does me something.",happiness,curiosity,mild,3,8,0
"00:01:28,000","00:01:31,000","If you get angry, you have something towards me.",anger,anger,mild,0,2,0
"00:01:31,000","00:01:33,000",You liked you to get closer.,happiness,desire,mild,3,9,0
"00:01:33,000","00:01:34,000",This is what I understand.,surprise,realization,mild,6,25,0
"00:01:35,000","00:01:37,000",I don't know how to react to all the inhabitants.,surprise,confusion,moderate,6,7,1
"00:01:37,000","00:01:39,000",It is a very complex situation.,surprise,confusion,moderate,6,7,1
"00:01:40,000","00:01:41,000",We mingle with everything.,neutral,neutral,mild,4,22,0
"00:01:41,000","00:01:43,000","It's like that, it's community life.",neutral,neutral,mild,4,22,0
"00:01:43,000","00:01:45,000","In an adventure, we mix with everything.",neutral,neutral,mild,4,22,0
"00:01:45,000","00:01:47,000",Do you have anything else to say?,happiness,curiosity,mild,3,8,0
"00:01:47,000","00:01:48,000",You look at us.,neutral,neutral,mild,4,22,0
"00:01:48,000","00:01:49,000",And what does that do it?,surprise,confusion,mild,6,7,0
"00:01:49,000","00:01:51,000",I fight my balls.,anger,annoyance,moderate,0,3,1
"00:01:51,000","00:01:52,000",I fight my balls.,anger,annoyance,moderate,0,3,1
"00:01:52,000","00:01:53,000",I look.,neutral,neutral,mild,4,22,0
"00:01:53,000","00:01:55,000",You are going to have suitors.,happiness,optimism,mild,3,23,0
"00:01:55,000","00:01:57,000","Don't worry, I don't need them.",neutral,neutral,mild,4,22,0
"00:01:57,000","00:01:58,000",I live without that.,neutral,neutral,mild,4,22,0
"00:01:59,000","00:02:00,000",I live without that.,neutral,neutral,mild,4,22,0
"00:02:00,000","00:02:02,000","Sure and certain, we will never be friends.",sadness,disappointment,moderate,5,10,1
"00:02:02,000","00:02:03,000",Really.,neutral,neutral,mild,4,22,0
"00:02:04,000","00:02:07,000",I leave with Lalou and I will pretend she was not there.,disgust,disapproval,moderate,1,11,1
"00:02:07,000","00:02:10,000","For me, this girl no longer exists in life.",disgust,disapproval,strong,1,11,2
"00:02:10,000","00:02:12,000",We kissed because we wanted to.,happiness,desire,moderate,3,9,1
"00:02:12,000","00:02:14,000",I think you wanted it too.,happiness,curiosity,mild,3,8,0
"00:02:14,000","00:02:15,000",So that's it.,surprise,realization,mild,6,25,0
"00:02:16,000","00:02:18,000","It's a crazy thing, I tell you.",happiness,excitement,moderate,3,14,1
"00:02:18,000","00:02:19,000",It is the Creation Court.,neutral,neutral,mild,4,22,0
"00:02:19,000","00:02:22,000",They made a kiss.,neutral,neutral,mild,4,22,0
"00:02:22,000","00:02:23,000",Wow!,surprise,surprise,moderate,6,29,1
"00:02:23,000","00:02:24,000",Where are we?,surprise,confusion,mild,6,7,0
"00:02:25,000","00:02:26,000",Hello ?,neutral,neutral,mild,4,22,0
"00:02:26,000","00:02:29,000","When it is to talk about them, they avoid the subject.",anger,annoyance,mild,0,3,0
"00:02:29,000","00:02:31,000","When it's us, it makes them laugh.",anger,annoyance,mild,0,3,0
"00:02:31,000","00:02:32,000",Is that in a sense.,neutral,neutral,mild,4,22,0
"00:02:32,000","00:02:33,000",It annoys me.,anger,annoyance,moderate,0,3,1
"00:02:33,000","00:02:34,000",It annoys me.,anger,annoyance,moderate,0,3,1
"00:02:34,000","00:02:35,000",They are jealous.,disgust,disapproval,moderate,1,11,1
"00:02:36,000","00:02:38,000","Manon, this morning, she made the girl.",disgust,disapproval,mild,1,11,0
"00:02:38,000","00:02:39,000",I don't care.,neutral,neutral,mild,4,22,0
"00:02:39,000","00:02:40,000",I don't understand.,surprise,confusion,moderate,6,7,1
"00:02:40,000","00:02:42,000","When we go to the beach,",neutral,neutral,mild,4,22,0
"00:02:42,000","00:02:44,000",The girl takes out her big Jemelles.,neutral,neutral,mild,4,22,0
"00:02:44,000","00:02:45,000",It looks like a pirate.,happiness,amusement,mild,3,1,0
"00:02:45,000","00:02:46,000",We want to throw ourselves.,happiness,desire,mild,3,9,0
"00:02:47,000","00:02:48,000",It hurts him.,sadness,sadness,moderate,5,28,1
"00:02:48,000","00:02:49,000","Yeah, exactly.",neutral,neutral,mild,4,22,0
"00:02:49,000","00:02:51,000","When I see Manon's disproportionate reaction,",surprise,confusion,moderate,6,7,1
"00:02:51,000","00:02:53,000",I ask myself questions.,happiness,curiosity,mild,3,8,0
"00:02:53,000","00:02:56,000","It's complicated, but I focus on my relationship with Larisse",happiness,optimism,moderate,3,23,1
"00:02:57,000","00:02:59,000",And we have a good time on the rooftop.,happiness,joy,mild,3,18,0
"00:02:59,000","00:03:00,000",I don't doubt you.,happiness,approval,mild,3,4,0
"00:03:01,000","00:03:02,000",Ah bah yes.,neutral,neutral,mild,4,22,0
"00:03:02,000","00:03:03,000",I know that not at all.,surprise,confusion,mild,6,7,0
"00:03:03,000","00:03:04,000","Afterwards, I don't see.",surprise,confusion,mild,6,7,0
"00:03:04,000","00:03:07,000","If I tell you, it is because it is.",neutral,neutral,mild,4,22,0
"00:03:07,000","00:03:08,000",I wouldn't like ...,disgust,disapproval,mild,1,11,0
"00:03:08,000","00:03:09,000","Not forced, actually.",neutral,neutral,mild,4,22,0
"00:03:09,000","00:03:10,000",It's going to be nice.,happiness,optimism,mild,3,23,0
"00:03:10,000","00:03:11,000",Don't worry.,happiness,caring,mild,3,6,0
"00:03:11,000","00:03:12,000",Not for that.,neutral,neutral,mild,4,22,0
"00:03:12,000","00:03:14,000",Sweet music,happiness,joy,mild,3,18,0
"00:03:22,000","00:03:23,000","It's not good, there.",disgust,disapproval,mild,1,11,0
"00:03:28,000","00:03:29,000",Message.,neutral,neutral,mild,4,22,0
"00:03:31,000","00:03:32,000",Ah !,surprise,surprise,mild,6,29,0
"00:03:32,000","00:03:34,000",Has coaching arrived?,happiness,curiosity,mild,3,8,0
"00:03:34,000","00:03:35,000",I have a contender.,neutral,neutral,mild,4,22,0
"00:03:35,000","00:03:36,000",Laughter,happiness,amusement,strong,3,1,2
"00:03:36,000","00:03:39,000","Julien, Antoine, the time of your coaching has arrived.",neutral,neutral,mild,4,22,0
"00:03:43,000","00:03:44,000",Pressure stroke.,surprise,confusion,mild,6,7,0
"00:03:46,000","00:03:48,000",I'm starting to be hot.,neutral,neutral,mild,4,22,0
"00:03:48,000","00:03:51,000","I'm not good, because I don't know what they have in store for us",fear,nervousness,moderate,2,21,1
"00:03:51,000","00:03:54,000",And I'm afraid of living an experience that I will not like.,fear,fear,moderate,2,15,1
"00:03:54,000","00:03:57,000","It's either we come back as a couple, or we come back separate.",surprise,confusion,moderate,6,7,1
"00:03:59,000","00:04:02,000",Sweet music,happiness,joy,mild,3,18,0
"00:04:18,000","00:04:20,000","Apparently, I don't want to go.",disgust,disapproval,mild,1,11,0
"00:04:20,000","00:04:21,000",It stresses me too much.,fear,nervousness,strong,2,21,2
"00:04:23,000","00:04:26,000","We are stressed, because we don't know what awaits us,",fear,nervousness,moderate,2,21,1
"00:04:28,000","00:04:31,000","Whether here, in the villa or outside.",neutral,neutral,mild,4,22,0
"00:04:31,000","00:04:33,000",Lucie's coaching can weld us.,happiness,optimism,mild,3,23,0
"00:04:34,000","00:04:35,000","It will be a couple exercise,",neutral,neutral,mild,4,22,0
"00:04:35,000","00:04:38,000",But that particularly concerns one of you.,happiness,curiosity,mild,3,8,0
"00:04:38,000","00:04:39,000",Antoine ?,happiness,curiosity,mild,3,8,0
"00:04:39,000","00:04:40,000",Antoine.,neutral,neutral,mild,4,22,0
"00:04:40,000","00:04:41,000",I was sure.,surprise,realization,mild,6,25,0
"00:04:41,000","00:04:42,000",So much the better.,happiness,approval,mild,3,4,0
"00:04:45,000","00:04:46,000",I'm too happy.,happiness,joy,strong,3,18,2
"00:04:47,000","00:04:49,000",You have a role to play which will not be easy.,fear,nervousness,moderate,2,21,1
"00:04:49,000","00:04:51,000","First, you will be separated.",fear,fear,moderate,2,15,1
"00:04:51,000","00:04:52,000",All right.,neutral,neutral,mild,4,22,0
"00:04:52,000","00:04:55,000",You will go there. There is a young man there.,neutral,neutral,mild,4,22,0
"00:04:55,000","00:04:56,000",His name is Adrien.,neutral,neutral,mild,4,22,0
"00:04:56,000","00:04:57,000",You have an appointment with him.,neutral,neutral,mild,4,22,0
"00:04:58,000","00:04:59,000","Please, will sit down.",neutral,neutral,mild,4,22,0
"00:05:00,000","00:05:01,000",Laughter,happiness,amusement,strong,3,1,2
"00:05:01,000","00:05:03,000",You let it go.,neutral,neutral,mild,4,22,0
"00:05:04,000","00:05:07,000","I don't understand, I see a peroxidized blond in the distance.",surprise,confusion,mild,6,7,0
"00:05:10,000","00:05:12,000","I'm starting to be tense, because ...",fear,nervousness,mild,2,21,0
"00:05:12,000","00:05:15,000","I say to myself, she will have a date before my eyes.",happiness,curiosity,mild,3,8,0
"00:05:15,000","00:05:16,000",It's out of the question.,disgust,disapproval,strong,1,11,2
"00:05:17,000","00:05:18,000","Julie, I present to you Adrien.",neutral,neutral,mild,4,22,0
"00:05:18,000","00:05:20,000","Adrien, I present to you Julie.",neutral,neutral,mild,4,22,0
"00:05:20,000","00:05:22,000",Adrien is there for this exercise.,neutral,neutral,mild,4,22,0
"00:05:22,000","00:05:25,000","You understood that it was a date, but that it was a date.",surprise,realization,moderate,6,25,1
"00:05:25,000","00:05:28,000",You are met on a meeting application.,neutral,neutral,mild,4,22,0
"00:05:28,000","00:05:30,000",You will make me fart a lead.,anger,annoyance,mild,0,3,0
"00:05:30,000","00:05:32,000",This is your first appointment.,neutral,neutral,mild,4,22,0
"00:05:32,000","00:05:35,000",This is the first time you have seen yourself and you have been like it.,surprise,realization,moderate,6,25,1
"00:05:37,000","00:05:38,000",You enter the seduction.,happiness,curiosity,mild,3,8,0
"00:05:41,000","00:05:42,000",Antoine will watch.,neutral,neutral,mild,4,22,0
"00:05:43,000","00:05:45,000","It takes me at the guts, I don't want to hurt him.",sadness,remorse,strong,5,27,2
"00:05:46,000","00:05:49,000",I just want to take my legs around my neck and leave.,happiness,desire,moderate,3,9,1
"00:05:49,000","00:05:50,000",Have a good date.,happiness,approval,mild,3,4,0
"00:05:50,000","00:05:51,000",Merci.,happiness,gratitude,mild,3,16,0
"00:05:51,000","00:05:52,000",I'm calling you Adrien.,neutral,neutral,mild,4,22,0
"00:05:52,000","00:05:53,000",Adrien.,neutral,neutral,mild,4,22,0
"00:05:55,000","00:05:56,000","28, soon.",neutral,neutral,mild,4,22,0
"00:05:56,000","00:05:57,000","Okay, I have 27.",neutral,neutral,mild,4,22,0
"00:05:58,000","00:05:59,000",27 ?,surprise,confusion,mild,6,7,0
"00:05:59,000","00:06:00,000","What do you see, there?",happiness,curiosity,mild,3,8,0
"00:06:00,000","00:06:04,000",I have been met since the time I wanted to meet.,neutral,neutral,mild,4,22,0
"00:06:05,000","00:06:07,000","Julie, in D, you're just a boy.",neutral,neutral,mild,4,22,0
"00:06:07,000","00:06:08,000","What I'm going to ask you,",happiness,curiosity,mild,3,8,0
"00:06:08,000","00:06:10,000","is that every time it shocks you,",surprise,surprise,moderate,6,29,1
"00:06:11,000","00:06:14,000","that in reality, it is something that you would not let pass,",disgust,disapproval,moderate,1,11,1
"00:06:14,000","00:06:16,000",You write on the sheet why.,surprise,confusion,mild,6,7,0
"00:06:16,000","00:06:19,000","Lucie's coaching, for me, is not at all coaching,",disgust,disapproval,moderate,1,11,1
"00:06:19,000","00:06:21,000",It's just torture.,disgust,disgust,strong,1,12,2
"00:06:21,000","00:06:22,000",Why is she doing this to me?,surprise,confusion,moderate,6,7,1
"00:06:22,000","00:06:25,000","She is supposed to arrange things between Julie and me,",neutral,neutral,mild,4,22,0
"00:06:25,000","00:06:28,000","But there, I have the impression that she wants us to separate.",sadness,disappointment,moderate,5,10,1
"00:06:28,000","00:06:29,000",I don't understand.,surprise,confusion,moderate,6,7,1
"00:06:29,000","00:06:31,000",I need a guy who rises me.,happiness,desire,moderate,3,9,1
"00:06:31,000","00:06:33,000",I need to learn from him.,happiness,curiosity,moderate,3,8,1
"00:06:33,000","00:06:35,000","Ah, okay, okay.",neutral,neutral,mild,4,22,0
"00:06:35,000","00:06:36,000","It's good, I know.",happiness,pride,mild,3,24,0
"00:06:37,000","00:06:38,000",For what ?,happiness,curiosity,mild,3,8,0
"00:06:38,000","00:06:40,000","The hand, the gaze ...",happiness,curiosity,mild,3,8,0
"00:06:40,000","00:06:41,000",A seductive position?,happiness,curiosity,mild,3,8,0
"00:06:41,000","00:06:42,000","Yeah, exactly.",surprise,realization,mild,6,25,0
"00:06:42,000","00:06:45,000","It is true that there, I am destabilized.",surprise,confusion,moderate,6,7,1
"00:06:45,000","00:06:47,000","If I sit here, right next to you?",happiness,curiosity,mild,3,8,0
"00:06:47,000","00:06:49,000","Sit here, right next to me.",happiness,desire,mild,3,9,0
"00:06:50,000","00:06:51,000",Gorgeous.,happiness,admiration,mild,3,0,0
"00:06:55,000","00:06:56,000",Are you going there?,happiness,curiosity,mild,3,8,0
"00:06:56,000","00:06:57,000",Destabilizing?,surprise,confusion,mild,6,7,0
"00:06:57,000","00:06:59,000","Yeah, it's destabilizing.",surprise,confusion,moderate,6,7,1
"00:06:59,000","00:07:00,000",A little bit.,surprise,confusion,mild,6,7,0
"00:07:00,000","00:07:02,000","The guy, he does a lot with Julie.",anger,annoyance,moderate,0,3,1
"00:07:02,000","00:07:03,000","He's there, he gets closer,",anger,annoyance,moderate,0,3,1
"00:07:04,000","00:07:06,000","He starts making compliments,",anger,annoyance,moderate,0,3,1
"00:07:06,000","00:07:07,000",He touches his hand.,anger,annoyance,moderate,0,3,1
"00:07:07,000","00:07:08,000",Who does he take himself for?,disgust,disapproval,moderate,1,11,1
"00:07:08,000","00:07:10,000","Already, you stay at a safety distance.",disgust,disapproval,moderate,1,11,1
"00:07:11,000","00:07:14,000","The truth, if I don't want to eat the bottom of the swimming pool,",fear,fear,moderate,2,15,1
"00:07:14,000","00:07:15,000",You will distance yourself.,disgust,disapproval,moderate,1,11,1
"00:07:15,000","00:07:16,000",Fiancée ?,happiness,curiosity,mild,3,8,0
"00:07:16,000","00:07:18,000","No, I'm not engaged.",neutral,neutral,mild,4,22,0
"00:07:18,000","00:07:19,000",It's a joke.,happiness,amusement,mild,3,1,0
"00:07:20,000","00:07:21,000",What if we remove it?,happiness,curiosity,mild,3,8,0
"00:07:22,000","00:07:23,000",Why do you want to remove it?,happiness,curiosity,mild,3,8,0
"00:07:23,000","00:07:25,000","Because for me, I'm with you,",happiness,love,mild,3,19,0
"00:07:25,000","00:07:27,000",We are just to put there.,neutral,neutral,mild,4,22,0
"00:07:27,000","00:07:28,000","The worst in this story,",sadness,disappointment,moderate,5,10,1
"00:07:28,000","00:07:30,000",is that he touches it,disgust,disapproval,moderate,1,11,1
"00:07:30,000","00:07:32,000",And she doesn't take her hand off.,sadness,disappointment,moderate,5,10,1
"00:07:32,000","00:07:33,000","If you really respect me,",disgust,disapproval,moderate,1,11,1
"00:07:34,000","00:07:36,000","Frankly, you jokes his hand with a slap.",anger,anger,strong,0,2,2
"00:07:36,000","00:07:38,000",At least you send it a little ...,disgust,disapproval,moderate,1,11,1
"00:07:38,000","00:07:39,000",You keep it away.,disgust,disapproval,moderate,1,11,1
"00:07:39,000","00:07:40,000","OK, agreed.",neutral,neutral,mild,4,22,0
"00:07:40,000","00:07:42,000",I saw what I had to see.,surprise,realization,moderate,6,25,1
"00:07:42,000","00:07:44,000","Frankly, it's enough for me.",sadness,disappointment,moderate,5,10,1
"00:07:44,000","00:07:45,000",It's a gift of ...,neutral,neutral,mild,4,22,0
"00:07:45,000","00:07:47,000","Ok, I can tell you what's going on.",neutral,neutral,mild,4,22,0
"00:07:48,000","00:07:49,000",Do you want to know?,happiness,curiosity,mild,3,8,0
"00:07:49,000","00:07:51,000","It was I who asked for it, like that.",neutral,neutral,mild,4,22,0
"00:07:51,000","00:07:52,000",OK.,neutral,neutral,mild,4,22,0
"00:07:52,000","00:07:54,000",She sees it as a role.,neutral,neutral,mild,4,22,0
"00:07:54,000","00:07:56,000",But I'm not sure.,surprise,confusion,mild,6,7,0
"00:07:56,000","00:07:57,000",It's up to you to see.,neutral,neutral,mild,4,22,0
"00:07:57,000","00:07:59,000",I'll explain to you what we're going to do.,neutral,neutral,mild,4,22,0
"00:07:59,000","00:08:01,000",We're going to go there and we're going to sit with Julie.,neutral,neutral,mild,4,22,0
"00:08:02,000","00:08:03,000","Are we going to talk a bit, okay?",neutral,neutral,mild,4,22,0
"00:08:03,000","00:08:04,000",Come on.,neutral,neutral,mild,4,22,0
"00:08:05,000","00:08:06,000","This coaching, me, he ...",surprise,confusion,mild,6,7,0
"00:08:07,000","00:08:09,000","He clearly drunk me, he pissed me off.",anger,annoyance,strong,0,3,2
"00:08:09,000","00:08:12,000",For the simple reason that I do not understand.,surprise,confusion,moderate,6,7,1
"00:08:12,000","00:08:14,000",I don't understand what's going on.,surprise,confusion,moderate,6,7,1
"00:08:14,000","00:08:16,000","I thought she had evolved,",sadness,disappointment,mild,5,10,0
"00:08:16,000","00:08:18,000","But when I see that, I tell myself that not at all.",sadness,disappointment,moderate,5,10,1
"00:08:19,000","00:08:20,000","Come on, see you soon.",neutral,neutral,mild,4,22,0
"00:08:20,000","00:08:22,000","Antoine, sit down.",neutral,neutral,mild,4,22,0
"00:08:22,000","00:08:24,000","I haven't seen you, it was not cool.",sadness,disappointment,mild,5,10,0
"00:08:24,000","00:08:25,000",I know.,neutral,neutral,mild,4,22,0
"00:08:25,000","00:08:26,000",Oh is!,surprise,surprise,mild,6,29,0
"00:08:32,000","00:08:33,000",My life ...,neutral,neutral,mild,4,22,0
"00:08:33,000","00:08:35,000","My life, what's it?",surprise,confusion,mild,6,7,0
"00:08:35,000","00:08:38,000","You see, however, he knows it was false.",surprise,realization,moderate,6,25,1
"00:08:38,000","00:08:39,000",Do you see the reaction?,happiness,curiosity,mild,3,8,0
"00:08:39,000","00:08:42,000","I know, because he suffered enormously.",sadness,sadness,moderate,5,28,1
"00:08:42,000","00:08:43,000",But are you sick or what?,anger,annoyance,strong,0,3,2
"00:08:43,000","00:08:44,000",My heart !,happiness,love,strong,3,19,2
"00:08:45,000","00:08:46,000",I love you.,happiness,love,strong,3,19,2
"00:08:46,000","00:08:47,000",One.,neutral,neutral,mild,4,22,0
"00:08:47,000","00:08:48,000",You can give me next to me.,neutral,neutral,mild,4,22,0
"00:08:48,000","00:08:49,000","Ah yes, you can.",neutral,neutral,mild,4,22,0
"00:08:50,000","00:08:51,000",My heart !,happiness,love,strong,3,19,2
"00:08:54,000","00:08:55,000",I absolutely didn't want.,sadness,remorse,moderate,5,27,1
"00:08:56,000","00:08:58,000",I just wanted it to end.,anger,annoyance,moderate,0,3,1
"00:08:58,000","00:09:02,000","He is convinced that you had the wish, but that you had fun?",surprise,confusion,moderate,6,7,1
"00:09:05,000","00:09:06,000",I was very uncomfortable.,fear,embarrassment,strong,2,13,2
"00:09:07,000","00:09:09,000",Say everything you have on your heart.,happiness,caring,moderate,3,6,1
"00:09:09,000","00:09:12,000","In fact, when I see that, you see, I tell myself that ...",surprise,realization,mild,6,25,0
"00:09:12,000","00:09:16,000","Already, I still can't trust, you see.",sadness,disappointment,moderate,5,10,1
"00:09:17,000","00:09:19,000","And to any occasion,",neutral,neutral,mild,4,22,0
"00:09:19,000","00:09:22,000","like a box evening, an evening with friends",neutral,neutral,mild,4,22,0
"00:09:22,000","00:09:24,000","Or someone you don't know who happens,",happiness,curiosity,mild,3,8,0
"00:09:24,000","00:09:26,000","you could please you physically,",happiness,desire,mild,3,9,0
"00:09:26,000","00:09:29,000","At any time, you can betray me.",fear,fear,strong,2,15,2
"00:09:29,000","00:09:31,000","Even if I know it's an exercise,",neutral,neutral,mild,4,22,0
"00:09:31,000","00:09:34,000","I have the impression that when I see you acting with him,",happiness,curiosity,mild,3,8,0
"00:09:34,000","00:09:35,000",that there is a background of truth.,surprise,realization,moderate,6,25,1
"00:09:36,000","00:09:38,000","I know that in my head, it was clear and clear.",surprise,realization,moderate,6,25,1
"00:09:38,000","00:09:41,000","Afterwards, in the sense that I am honest with you,",neutral,neutral,mild,4,22,0
"00:09:41,000","00:09:45,000","If I was not with you, it's someone who could have pleased me.",happiness,desire,mild,3,9,0
"00:09:45,000","00:09:48,000","But I don't want that, even if I laughed a lot.",disgust,disapproval,mild,1,11,0
"00:09:48,000","00:09:49,000",I was embarrassed.,fear,embarrassment,strong,2,13,2
"00:09:49,000","00:09:51,000",It was nervousness.,fear,nervousness,moderate,2,21,1
"00:09:51,000","00:09:52,000","The evil I was able to do in Antoine,",sadness,remorse,strong,5,27,2
"00:09:53,000","00:09:56,000","It must be hard for him, but it's hard too for me",sadness,sadness,strong,5,28,2
"00:09:56,000","00:09:59,000",Because I love him very much and I don't want to hurt him.,happiness,love,strong,3,19,2
"00:10:00,000","00:10:01,000",I will tell you what I saw.,neutral,neutral,mild,4,22,0
"00:10:03,000","00:10:05,000","who laughed nervously and who said to himself,",fear,nervousness,moderate,2,21,1
"00:10:05,000","00:10:06,000","When it stops, because it's very hard,",anger,annoyance,strong,0,3,2
"00:10:07,000","00:10:08,000",I am hurting the man I love.,sadness,remorse,strong,5,27,2
"00:10:08,000","00:10:09,000",That's all I saw.,neutral,neutral,mild,4,22,0
"00:10:09,000","00:10:10,000",And what I just did there,neutral,neutral,mild,4,22,0
"00:10:10,000","00:10:12,000","It is to offer you an opportunity, precisely,",happiness,optimism,mild,3,23,0
"00:10:12,000","00:10:13,000","to clear you both,",happiness,relief,mild,3,26,0
"00:10:13,000","00:10:14,000","To find out what are your limits,",happiness,curiosity,moderate,3,8,1
"00:10:15,000","00:10:16,000","talk about your fears,",happiness,caring,moderate,3,6,1
"00:10:16,000","00:10:17,000","And before leaving this adventure,",neutral,neutral,mild,4,22,0
"00:10:18,000","00:10:20,000","to put yourself in the square both to tell you,",happiness,optimism,moderate,3,23,1
"00:10:23,000","00:10:25,000","Me, listen, I want to ...",happiness,desire,moderate,3,9,1
"00:10:25,000","00:10:27,000",that you never know ...,neutral,neutral,mild,4,22,0
"00:10:27,000","00:10:28,000","A self-drag person,",disgust,disapproval,mild,1,11,0
"00:10:29,000","00:10:32,000","which begins to compliment and that we get into his game,",happiness,curiosity,mild,3,8,0
"00:10:32,000","00:10:35,000","which begins to imply, that we might be seen.",fear,nervousness,mild,2,21,0
"00:10:36,000","00:10:36,000",An opening.,neutral,neutral,mild,4,22,0
"00:10:37,000","00:10:37,000",As Adrien did it earlier.,happiness,admiration,mild,3,0,0
"00:10:38,000","00:10:38,000",This is flirting.,neutral,neutral,mild,4,22,0
"00:10:38,000","00:10:39,000",And that's no.,disgust,disapproval,strong,1,11,2
"00:10:39,000","00:10:40,000",This is out of the question.,anger,anger,strong,0,2,2
"00:10:40,000","00:10:42,000",It seems to me completely logical.,neutral,neutral,mild,4,22,0
"00:10:42,000","00:10:43,000","So you, your limit is,",happiness,curiosity,mild,3,8,0
"00:10:43,000","00:10:46,000","If a man is too pleasant or self-drafted or flirts,",disgust,disapproval,moderate,1,11,1
"00:10:46,000","00:10:47,000",I want you to put a stop.,happiness,optimism,strong,3,23,2
"00:10:47,000","00:10:48,000",Exactly.,neutral,neutral,mild,4,22,0
"00:10:48,000","00:10:49,000",I understand myself.,surprise,realization,moderate,6,25,1
"00:10:49,000","00:10:51,000","I would not allow myself to do it, of myself.",disgust,disapproval,moderate,1,11,1
"00:10:51,000","00:10:52,000",It is not well.,disgust,disapproval,moderate,1,11,1
"00:10:52,000","00:10:54,000","And there, I realize that it still hurt him,",sadness,remorse,strong,5,27,2
"00:10:54,000","00:10:56,000","And this is the only thing I didn't want to do him again, in fact.",sadness,disappointment,moderate,5,10,1
"00:10:57,000","00:10:59,000","And this coaching makes me do a lot of things,",surprise,realization,moderate,6,25,1
"00:10:59,000","00:11:04,000",including the fact that I am very in love with Antoine.,happiness,love,strong,3,19,2
