text,true_emotion,pred_emotion,true_sub_emotion,pred_sub_emotion,true_intensity,pred_intensity,emotion_correct,sub_emotion_correct,intensity_correct,all_correct
"99% I want to be the Asian list of model, but 100% I want to win",happiness,happiness,desire,desire,strong,moderate,True,True,False,False
14 beautiful women from all across Asia,neutral,happiness,neutral,admiration,mild,mild,False,False,True,False
"So on that note ladies, welcome to Asia's next top model",happiness,happiness,excitement,excitement,moderate,mild,True,True,False,False
Starts right now,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"So Pia walks out with six male models, which are like half naked",happiness,happiness,amusement,amusement,mild,mild,True,True,True,True
beautiful abs and I'm thinking,happiness,happiness,desire,admiration,mild,mild,True,False,True,False
Damn,anger,anger,annoyance,annoyance,mild,moderate,True,True,False,False
So ladies meet your first special guest of the competition,happiness,happiness,excitement,excitement,moderate,mild,True,True,False,False
Can't believe that Pia Wurtzbach is actually here,surprise,surprise,surprise,surprise,moderate,moderate,True,True,True,True
They will be your co-stars for your first,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Gorilla lingerie catwalk challenge and that's happening right now,happiness,happiness,amusement,excitement,moderate,moderate,True,False,True,False
That's right girls you will be dressed in sexy lingerie as we set up a gorilla catwalk on this very bridge,happiness,happiness,excitement,excitement,moderate,moderate,True,True,True,True
Usually I did better in runways and catwalk than Valerie,happiness,happiness,pride,pride,mild,mild,True,True,True,True
So I'm confident in this challenge that I will win over her,happiness,happiness,optimism,optimism,moderate,moderate,True,True,True,True
Everyone looks really good in lingerie,happiness,happiness,admiration,admiration,mild,mild,True,True,True,True
So intimidating,fear,fear,fear,fear,moderate,moderate,True,True,True,True
"Hello girls, are you excited for your first challenge?",happiness,happiness,excitement,excitement,mild,moderate,True,True,False,False
When you walk out you have to choose one of the male models to be your co-star as you make your way down the runway,happiness,neutral,curiosity,neutral,mild,mild,False,False,True,False
"Then when you hit the end of the runway, you'll get another surprise",surprise,surprise,surprise,surprise,moderate,mild,True,True,False,False
So make sure you put your best foot forward because this is the first time,fear,fear,nervousness,nervousness,moderate,mild,True,True,False,False
"All right, I am scared I've never actually been on the runway so it's very nerve-wracking for me",fear,fear,nervousness,fear,strong,moderate,True,False,False,False
If you feel a confident from the inside that's when you show it from the outside and that's what I want to do,happiness,happiness,optimism,optimism,moderate,mild,True,True,False,False
"Not bad, got a little bit of sass and attitude there our sweet Maureen",happiness,happiness,amusement,admiration,mild,mild,True,False,True,False
Pleasantly surprised Valerie,surprise,surprise,surprise,surprise,mild,mild,True,True,True,True
Really want to make an impression that me and Valerie we're different in our own ways,happiness,happiness,desire,optimism,moderate,moderate,True,False,True,False
This is her twin right Veronica,happiness,happiness,curiosity,curiosity,mild,mild,True,True,True,True
I like her walk a lot,happiness,happiness,admiration,admiration,mild,mild,True,True,True,True
And her knees gorgeous,happiness,happiness,admiration,admiration,mild,mild,True,True,True,True
"My plan was to be myself, be really laid-back and show who I am.",happiness,happiness,optimism,optimism,mild,mild,True,True,True,True
"Oh shit, what should I do, what should I do?",fear,surprise,nervousness,confusion,strong,moderate,False,False,False,False
I just feel like I need to update this.,surprise,neutral,realization,neutral,mild,mild,False,False,True,False
"When I look around all of the girls, the girl who has the best body is me.",happiness,happiness,pride,pride,moderate,mild,True,True,False,False
"Oh, she's fierce.",happiness,happiness,admiration,admiration,mild,mild,True,True,True,True
It's a bit too literal again with the car.,anger,anger,annoyance,annoyance,mild,mild,True,True,True,True
I'm gonna rock it out like Heidi Klum does on the runway.,happiness,happiness,excitement,pride,moderate,mild,True,False,False,False
"All the girls got good walks this year, I'm excited to see that.",happiness,happiness,excitement,excitement,moderate,moderate,True,True,True,True
Sweet.,happiness,happiness,approval,admiration,mild,mild,True,False,True,False
This is Cindy.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Cindy.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
You must be fierce to be fierce.,happiness,happiness,admiration,amusement,mild,moderate,True,False,False,False
Fierce.,happiness,happiness,admiration,disgust,mild,strong,True,False,False,False
I love the action part.,happiness,happiness,joy,joy,mild,moderate,True,True,False,False
You must do a runway and then go back with heels.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Oh my god, it's painful as hell.",disgust,fear,disgust,annoyance,strong,strong,False,False,True,False
"Okay, we've got Namita.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Since I've done many runways, I feel like I have this down.",happiness,happiness,pride,pride,moderate,mild,True,True,False,False
Oh shit.,surprise,surprise,surprise,surprise,moderate,mild,True,True,False,False
Well that was anywhere.,surprise,surprise,confusion,confusion,mild,mild,True,True,True,True
I was literally not expecting that.,surprise,surprise,surprise,surprise,moderate,mild,True,True,False,False
"Not sure about her walk though, she's a bit clumpy.",disgust,disgust,disapproval,disapproval,mild,mild,True,True,True,True
But I like the attitude.,happiness,happiness,approval,approval,mild,mild,True,True,True,True
"We have Clara. Oh my god, she's gorgeous.",happiness,happiness,admiration,excitement,moderate,moderate,True,False,True,False
I don't really like her walk.,disgust,disgust,disapproval,disapproval,mild,moderate,True,True,False,False
Dorothy.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Beautiful face.,happiness,happiness,admiration,admiration,mild,mild,True,True,True,True
Jennika.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Oh, I like that little wink at the end.",happiness,happiness,amusement,amusement,mild,mild,True,True,True,True
Angelica.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Heidi.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
I'm not sure about her walk.,disgust,surprise,disapproval,confusion,mild,mild,False,False,True,False
She just looks like she's walking with her boyfriend down the catwalk.,happiness,happiness,amusement,amusement,mild,mild,True,True,True,True
I don't have so much time to change the clothes.,anger,neutral,annoyance,neutral,mild,mild,False,False,True,False
I wear the high heels and run like crazy.,happiness,happiness,optimism,excitement,moderate,mild,True,False,False,False
Because my heart has a little bit like sick.,sadness,sadness,sadness,sadness,mild,moderate,True,True,False,False
I cannot breathe when I run.,fear,fear,fear,fear,moderate,moderate,True,True,True,True
Oh my god.,surprise,surprise,surprise,surprise,mild,mild,True,True,True,True
I cannot see anything. I don't get enough oxygen.,fear,fear,fear,nervousness,strong,moderate,True,False,False,False
It's my time to find my second world.,happiness,happiness,optimism,optimism,moderate,moderate,True,True,True,True
"If I don't finish this challenge, I will have to go home.",fear,fear,fear,fear,moderate,moderate,True,True,True,True
I need to do my challenge.,happiness,happiness,optimism,neutral,moderate,mild,True,False,False,False
I just try my best.,happiness,happiness,optimism,neutral,moderate,mild,True,False,False,False
"Oh, damn girl.",happiness,anger,admiration,annoyance,moderate,moderate,False,False,True,False
She's burning up that catwalk.,happiness,happiness,admiration,amusement,moderate,mild,True,False,False,False
She's got a lot of attitude.,happiness,happiness,admiration,admiration,mild,mild,True,True,True,True
No way.,surprise,surprise,surprise,neutral,mild,mild,True,False,True,False
This is a challenge.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
This competition means a lot to me,happiness,happiness,optimism,love,moderate,moderate,True,False,True,False
because I wanted to do something to get out of my comfort zone,happiness,happiness,optimism,desire,moderate,moderate,True,False,True,False
and prove myself and everyone that I can do it.,happiness,happiness,optimism,optimism,moderate,moderate,True,True,True,True
"Usually, Veronika always do the runway better than me.",neutral,happiness,neutral,admiration,mild,mild,False,False,True,False
"But this time, I will prove to Veronika that I can do better.",happiness,happiness,optimism,optimism,moderate,moderate,True,True,True,True
"Three years ago, I already tried to be here and I never give up.",happiness,happiness,optimism,optimism,strong,moderate,True,True,False,False
"So, this is just a dream come true.",happiness,happiness,joy,joy,strong,moderate,True,True,False,False
"To win this, I'm just going to focus on myself.",happiness,happiness,optimism,optimism,moderate,moderate,True,True,True,True
I'm going to give my best.,happiness,happiness,optimism,optimism,strong,moderate,True,True,False,False
My strategy for this competition is to be consistent in what I want,happiness,happiness,optimism,optimism,moderate,moderate,True,True,True,True
I'm not just an ordinary girl.,happiness,happiness,pride,pride,moderate,mild,True,True,False,False
I think I have the potential and the body to be a great top model.,happiness,happiness,pride,pride,moderate,moderate,True,True,True,True
"Making it to this competition, it's a huge deal.",happiness,happiness,excitement,excitement,strong,strong,True,True,True,True
I wish to make it to the finish line and emerge first.,happiness,happiness,desire,optimism,strong,moderate,True,False,False,False
I think I deserve to be in Asia's Next Top Model,happiness,happiness,pride,pride,moderate,moderate,True,True,True,True
because I'm a very hardworking girl.,happiness,happiness,pride,pride,moderate,mild,True,True,False,False
I'm just going to put everything I have and nail it.,happiness,happiness,optimism,optimism,strong,moderate,True,True,False,False
and prove to myself that I can make it in the modeling industry.,happiness,happiness,optimism,optimism,strong,moderate,True,True,False,False
Great job!,happiness,happiness,approval,approval,mild,mild,True,True,True,True
I see the judges at the end of the runway.,fear,neutral,nervousness,neutral,moderate,mild,False,False,False,False
I don't know what's going on in their head.,surprise,surprise,confusion,confusion,moderate,moderate,True,True,True,True
I feel like I own it and I have a chance to win the challenge.,happiness,happiness,optimism,optimism,moderate,moderate,True,True,True,True
People talk about my heart is sick.,sadness,sadness,sadness,sadness,moderate,moderate,True,True,True,True
I come here to win this competition.,happiness,happiness,optimism,optimism,strong,moderate,True,True,False,False
I think we got a good group of girls this year.,happiness,happiness,optimism,approval,mild,mild,True,False,True,False
I do too.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Yes! Yes!,happiness,happiness,excitement,excitement,strong,strong,True,True,True,True
"I see the pool and I'm like, I am in Bali.",happiness,happiness,excitement,excitement,strong,mild,True,True,False,False
"It's so surreal being in this competition, staying in a house like this.",happiness,surprise,excitement,surprise,moderate,moderate,False,False,True,False
"Goodies! Oh my God, yes. Freestyle.",happiness,happiness,excitement,excitement,strong,mild,True,True,False,False
We have all strong personalities.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"So guys, this is the rowdy Malaysian.",happiness,happiness,amusement,amusement,mild,mild,True,True,True,True
I'm the nice one.,happiness,happiness,pride,pride,mild,mild,True,True,True,True
It's good because we can talk to each other but it's bad at the same time,surprise,happiness,confusion,relief,moderate,mild,False,False,False,False
I knew it!,surprise,surprise,realization,realization,moderate,mild,True,True,False,False
I sleep with twins.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"They're twins, same personality.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"If I talk to Veronica and then maybe after five minutes I talk to Valeria,",surprise,neutral,confusion,neutral,mild,mild,False,False,True,False
I cannot tell the difference.,surprise,surprise,confusion,confusion,mild,mild,True,True,True,True
It's just so awkward.,fear,fear,embarrassment,fear,moderate,moderate,True,False,True,False
"I mean, sorry, first day.",fear,sadness,nervousness,remorse,mild,mild,False,False,True,False
"Living with the other six girls, I don't know what to feel.",surprise,surprise,confusion,confusion,moderate,mild,True,True,False,False
I just hope that there's less drama.,neutral,fear,neutral,neutral,mild,mild,False,True,True,False
"I just hope for the best, I think.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Guys, send me an email.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Hello, ladies.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Welcome to your new model house.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"As you're settling in, I must first explain to you how your scores work.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"In order to keep you on your toes throughout this competition,",happiness,happiness,curiosity,optimism,mild,moderate,True,False,False,False
each of you will earn a score after every challenge and photo shoot.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"And at the end of every week, these two scores will be combined",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
in order to determine who stays and who goes.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"As you've all successfully completed your first challenge,",happiness,happiness,approval,approval,mild,mild,True,True,True,True
here's where you stand at this point.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Good luck, girls.",neutral,happiness,neutral,caring,mild,mild,False,False,True,False
The one over Valerie is number one.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
And then with the other girls.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Yes!,happiness,happiness,excitement,excitement,strong,moderate,True,True,False,False
It's me!,happiness,happiness,joy,excitement,strong,mild,True,False,False,False
I'm so happy.,happiness,happiness,joy,joy,strong,moderate,True,True,False,False
Good!,happiness,happiness,approval,approval,mild,mild,True,True,True,True
And I got second!,surprise,happiness,surprise,excitement,moderate,mild,False,False,False,False
What? Second?,surprise,surprise,surprise,confusion,moderate,mild,True,False,False,False
"Valerie, what are you doing to me, man?",anger,anger,annoyance,annoyance,moderate,moderate,True,True,True,True
You're taking my place.,sadness,anger,disappointment,annoyance,moderate,moderate,False,False,True,False
It's supposed to be me.,sadness,sadness,disappointment,disappointment,moderate,mild,True,True,False,False
"Oh, my God!",surprise,surprise,surprise,surprise,strong,mild,True,True,False,False
I'm in top five.,happiness,happiness,excitement,pride,strong,mild,True,False,False,False
"Maureen is third, and Jenica is fourth, and I'm the fifth.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"And I'm pretty happy that all the Filipino girls are, you know, in the top five.",happiness,happiness,pride,joy,moderate,moderate,True,False,True,False
"So, watch out for the Philippines!",happiness,happiness,pride,neutral,moderate,mild,True,False,False,False
Whose name is on there?,happiness,happiness,curiosity,curiosity,mild,mild,True,True,True,True
Mine?,happiness,surprise,curiosity,confusion,mild,mild,False,False,True,False
"Namita, you're not in.",sadness,disgust,disappointment,disapproval,moderate,mild,False,False,False,False
"Oh, my God.",surprise,surprise,surprise,surprise,mild,mild,True,True,True,True
"F**k me, man.",anger,anger,annoyance,anger,strong,strong,True,False,True,False
I didn't perform as how I wanted to or like how I would have.,sadness,sadness,disappointment,disappointment,moderate,moderate,True,True,True,True
"Okay, bye, girls.",sadness,neutral,sadness,neutral,mild,mild,False,False,True,False
"Don't say that, no.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"So, yeah.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Cindy Miao! Cindy Miao!,happiness,happiness,excitement,excitement,moderate,moderate,True,True,True,True
Check your old self and step up with confidence.,happiness,happiness,optimism,optimism,moderate,moderate,True,True,True,True
Because you just might run into the new you.,happiness,happiness,optimism,fear,moderate,moderate,True,False,True,False
"Love, Cindy Miao.",happiness,happiness,caring,gratitude,mild,mild,True,False,True,False
Is that makeover?,happiness,happiness,curiosity,curiosity,mild,mild,True,True,True,True
Who is that?,happiness,happiness,curiosity,curiosity,mild,mild,True,True,True,True
It's either a makeover or a snake.,happiness,happiness,curiosity,amusement,mild,mild,True,False,True,False
It's something to do with a snake.,happiness,happiness,curiosity,amusement,mild,mild,True,False,True,False
"We're all speculating, like, what could it be?",happiness,happiness,curiosity,curiosity,moderate,mild,True,True,False,False
But as a theme is expect the unexpected.,happiness,happiness,curiosity,neutral,mild,mild,True,False,True,False
"I have no idea, but I'm excited to find out.",happiness,happiness,excitement,excitement,moderate,moderate,True,True,True,True
"Welcome, ladies, to your first photo challenge.",happiness,neutral,excitement,neutral,moderate,mild,False,False,False,False
It's all about high fashion and high energy.,happiness,happiness,excitement,admiration,moderate,mild,True,False,False,False
And the theme is runaway model.,neutral,happiness,neutral,amusement,mild,mild,False,False,True,False
"Yesterday, the challenge was a long marathon run,",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
and now we're running again.,neutral,happiness,neutral,excitement,mild,mild,False,False,True,False
"Okay, let's do this.",happiness,happiness,excitement,optimism,moderate,moderate,True,False,True,False
"So, ladies, it's time to meet your photographer",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"from Calibre Pictures, Mr. Joel Lim.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Congratulations, ladies,",happiness,happiness,approval,approval,moderate,mild,True,True,False,False
on making it to your first photo challenge.,happiness,happiness,pride,excitement,moderate,mild,True,False,False,False
Success on this competition,happiness,happiness,optimism,admiration,moderate,moderate,True,False,True,False
almost guarantees you success in the industry.,happiness,happiness,optimism,optimism,moderate,moderate,True,True,True,True
So we want you excited.,happiness,happiness,excitement,excitement,moderate,moderate,True,True,True,True
We want you motivated.,happiness,happiness,approval,desire,mild,moderate,True,False,False,False
"Are you ready, girls?",happiness,neutral,excitement,neutral,mild,mild,False,False,True,False
Good luck!,happiness,happiness,approval,caring,mild,mild,True,False,True,False
It's my very first photo challenge,happiness,happiness,excitement,excitement,moderate,moderate,True,True,True,True
in Asia's Next Top Model.,happiness,happiness,pride,excitement,moderate,moderate,True,False,True,False
"I've been waiting for this, like, for my whole life,",happiness,happiness,excitement,pride,strong,moderate,True,False,False,False
"so I'm very excited, but I was so scared also.",fear,fear,nervousness,fear,strong,moderate,True,False,False,False
"Being in the bottom three for the runaway task,",sadness,sadness,disappointment,disappointment,moderate,moderate,True,True,True,True
"it was a lot of pressure,",fear,anger,nervousness,annoyance,moderate,moderate,False,False,True,False
"because I know I had to, like,",happiness,surprise,optimism,realization,moderate,mild,False,False,False,False
step up my game this time.,happiness,happiness,optimism,optimism,moderate,moderate,True,True,True,True
"I kind of was just like,",surprise,neutral,realization,neutral,mild,mild,False,False,True,False
"okay, you know, Namita, like,",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
gotta give it your all.,happiness,happiness,optimism,optimism,moderate,moderate,True,True,True,True
"But at the same time, I was just like,",surprise,surprise,confusion,realization,mild,mild,True,False,True,False
"shit, you know?",anger,anger,annoyance,annoyance,moderate,moderate,True,True,True,True
"Hey, girls!",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Gather around, please.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Probably some of you are excited,",happiness,happiness,excitement,excitement,mild,moderate,True,True,False,False
a little bit nervous.,fear,fear,nervousness,fear,mild,moderate,True,False,False,False
I know what it feels like,surprise,surprise,realization,realization,mild,mild,True,True,True,True
"to be in a competition kind of situation,",fear,happiness,nervousness,neutral,mild,mild,False,False,True,False
I've been there.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
I'm not gonna be physically with you,neutral,disgust,neutral,disapproval,mild,moderate,False,False,False,False
"throughout the whole competition,",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
but Cindy did invite me to share some tips with you,happiness,happiness,approval,curiosity,mild,mild,True,False,True,False
through video messages,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
so that I can see how you girls are doing.,happiness,happiness,caring,curiosity,moderate,mild,True,False,False,False
This is basically one of your first challenges.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
You have a long way to go.,sadness,fear,disappointment,nervousness,mild,moderate,False,False,False,False
"And also, people want somebody easy to work with,",neutral,happiness,neutral,optimism,mild,mild,False,False,True,False
somebody who's professional.,neutral,happiness,neutral,approval,mild,mild,False,False,True,False
It's very important.,neutral,surprise,neutral,realization,mild,moderate,False,False,False,False
"Good luck, girls.",happiness,happiness,approval,caring,mild,mild,True,False,True,False
I'll be seeing you again.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Group hug!,happiness,happiness,caring,excitement,moderate,moderate,True,False,True,False
"I'm the first girl,",fear,happiness,nervousness,pride,moderate,mild,False,False,False,False
so I won't be able to see,sadness,neutral,disappointment,neutral,mild,mild,False,False,True,False
what to do and what not to do.,surprise,surprise,confusion,confusion,moderate,mild,True,True,False,False
"I'm kind of, like, nervous.",fear,fear,nervousness,fear,mild,moderate,True,False,False,False
"All right, Jennika, your time starts now.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"You're really missing the beat of the camera,",sadness,anger,disappointment,annoyance,moderate,moderate,False,False,True,False
"so just really try to get it on the 1, 2, 3.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Listen to his instructions carefully.,neutral,neutral,neutral,caring,mild,mild,True,False,True,False
It's not even a pretty dancer.,disgust,disgust,disapproval,disapproval,moderate,moderate,True,True,True,True
It's very awkward-looking at the moment.,disgust,disgust,disapproval,disapproval,moderate,mild,True,True,False,False
"Okay, ready.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
I was kind of panicking,fear,fear,nervousness,fear,moderate,moderate,True,False,True,False
"because the judges were trying to help me out,",happiness,happiness,gratitude,gratitude,mild,mild,True,True,True,True
"like, do this, do that.",surprise,neutral,confusion,neutral,mild,mild,False,False,True,False
You're coming down.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
I'm kind of thinking I should have done better.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Clara!,happiness,neutral,excitement,neutral,mild,mild,False,False,True,False
"Let's go. 1, 2, 3, go!",happiness,happiness,excitement,excitement,moderate,moderate,True,True,True,True
Yeah!,happiness,happiness,excitement,excitement,mild,mild,True,True,True,True
"1, 2, 3, go.",neutral,happiness,neutral,excitement,mild,mild,False,False,True,False
Good.,happiness,happiness,approval,approval,mild,mild,True,True,True,True
"1, 2, 3, let's go.",happiness,happiness,excitement,excitement,mild,moderate,True,True,False,False
"Yeah, she's got two.",happiness,happiness,approval,admiration,mild,mild,True,False,True,False
Today's photoshoot's so perfect for me.,happiness,happiness,joy,joy,moderate,moderate,True,True,True,True
"Yes, yes, I want some more, just like that.",happiness,happiness,desire,desire,moderate,moderate,True,True,True,True
"Okay, 1, 2, 3, go.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"I like photographers who talk like,",happiness,happiness,approval,admiration,mild,mild,True,False,True,False
"nice, good, amazing, so I can improve, right?",happiness,happiness,optimism,optimism,mild,mild,True,True,True,True
Yes!,happiness,happiness,excitement,excitement,mild,moderate,True,True,False,False
Beautiful.,happiness,happiness,admiration,admiration,mild,mild,True,True,True,True
Go.,neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
Clara's doing really good.,happiness,happiness,admiration,approval,moderate,mild,True,False,False,False
I'm very impressed.,happiness,happiness,admiration,admiration,moderate,moderate,True,True,True,True
"Okay, okay, I got my work cut out for me now.",neutral,happiness,neutral,optimism,mild,moderate,False,False,False,False
Well done!,happiness,happiness,approval,approval,moderate,mild,True,True,False,False
"Angelica, up next.",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"Okay, less like a bird, all right?",disgust,neutral,disapproval,neutral,mild,mild,False,False,True,False
"More like a woman, okay?",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"When they started doing the shoot,",neutral,neutral,neutral,neutral,mild,mild,True,True,True,True
"I was like, what was I gonna do,",surprise,surprise,confusion,confusion,moderate,mild,True,True,False,False
"what was I gonna do,",surprise,surprise,confusion,confusion,moderate,mild,True,True,False,False
and then it just went blank.,surprise,surprise,confusion,confusion,strong,mild,True,True,False,False
Think about what your hands are doing and your face.,neutral,happiness,neutral,curiosity,mild,mild,False,False,True,False
"1, 2, 3, and go.",neutral,neutral,neutral,excitement,mild,mild,True,False,True,False
Very well.,happiness,happiness,approval,approval,mild,mild,True,True,True,True
